parcel,leased
410105100009.00000000,1
410105200029.00000000,1
410105300003.00000000,1
410106200015.00000000,1
410106200017.00000000,1
410106300005.00000000,1
410106300007.00000000,1
410106300008.00000000,1
410106400003.00000000,1
410107200008.00000000,1
410107400006.00000000,1
410108100003.00000000,1
410108100019.00000000,1
410108200016.00000000,1
410109100037.00000000,1
410110300007.00000000,1
410114100005.00000000,1
410114100008.00000000,1
410114100009.00000000,1
410114100016.00000000,1
410114300005.00000000,1
410115100004.00000000,1
410115100013.00000000,1
410115100017.00000000,1
410115200012.00000000,1
410115300003.00000000,1
410115300026.00000000,1
410115300045.00000000,1
410115400026.00000000,1
410115400029.00000000,1
410115400030.00000000,1
410115400031.00000000,1
410115400032.00000000,1
410115400033.00000000,1
410117100020.00000000,1
410117400013.00000000,1
410118100021.00000000,1
410118100022.00000000,1
410118200012.00000000,1
410118300020.00000000,1
410118300021.00000000,1
410118300024.00000000,1
410118400008.00000000,1
410119200001.00000000,1
410119376003.00000000,1
410120200001.00000000,1
410121100042.00000000,1
410121100042.00000000,1
410121100042.00000000,1
410121300020.00000000,1
410121300025.00000000,1
410121300025.00000000,1
410121300025.00000000,1
410128100006.00000000,1
410128100006.00000000,1
410130300005.00000000,1
410130300010.00000000,1
410131300033.00000000,1
410202300008.00000000,1
410301200003.00000000,1
410412100020.00000000,1
410420100003.00000000,1
410420100003.00000000,1
410420100003.00000000,1
410433300009.00000000,1
410433300009.00000000,1
410433400022.00000000,1
410433400022.00000000,1
410505300026.00000000,1
410505400004.00000000,1
410505400006.00000000,1
410506100003.00000000,1
410506100004.00000000,1
410506200007.00000000,1
410507300010.00000000,1
410508100022.00000000,1
410508100030.00000000,1
410508100033.00000000,1
410509100017.00000000,1
410509300002.00000000,1
410509300010.00000000,1
410509300011.00000000,1
410509300011.00000000,1
410509300011.00000000,1
410509400012.00000000,1
410509400019.00000000,1
410511300009.00000000,1
410517100014.00000000,1
410517100014.00000000,1
410517200030.00000000,1
410517300015.00000000,1
410518100005.00000000,1
410518200005.00000000,1
410519100002.00000000,1
410519226004.00000000,1
410519301001.00000000,1
410519301001.00000000,1
410519301002.00000000,1
410519376001.00000000,1
410520100019.00000000,1
410520400001.00000000,1
410520400001.00000000,1
410521400011.00000000,1
410529300002.00000000,1
410529300003.00000000,1
410529400002.00000000,1
410529400006.00000000,1
410530400010.00000000,1
410533100005.00000000,1
410533200002.00000000,1
410533300009.00000000,1
410533400048.00000000,1
410701300002.00000000,1
410704400016.00000000,1
410714200024.00000000,1
410715300008.00000000,1
410715300012.00000000,1
410716400003.00000000,1
410716400006.00000000,1
410721200006.00000000,1
410722100004.00000000,1
410722200005.00000000,1
410723100006.00000000,1
410723300008.00000000,1
410723400013.00000000,1
410724300005.00000000,1
410724400009.00000000,1
410724400009.00000000,1
410724400009.00000000,1
410724400018.00000000,1
410724400018.00000000,1
410724400018.00000000,1
410725100006.00000000,1
410725251001.00000000,1
410725251004.00000000,1
410725301004.00000000,1
410726100003.00000000,1
410726100019.00000000,1
410726100024.00000000,1
410726100025.00000000,1
410726200030.00000000,1
410726200036.00000000,1
410726200037.00000000,1
410726300005.00000000,1
410726300007.00000000,1
410726400040.00000000,1
410726400062.00000000,1
410735300012.00000000,1
410735375001.00000000,1
410802100035.00000000,1
410802100061.00000000,1
410803100004.00000000,1
410803100004.00000000,1
410803100011.00000000,1
410803100019.00000000,1
410803100024.00000000,1
410803100029.00000000,1
410803200044.00000000,1
410803200048.00000000,1
410803200049.00000000,1
410803200049.00000000,1
410803200085.00000000,1
410803200085.00000000,1
410803300070.00000000,1
410803476003.00000000,1
410803476003.00000000,1
410804100010.00000000,1
410804100010.00000000,1
410804200001.00000000,1
410804200001.00000000,1
410804200002.00000000,1
410804200002.00000000,1
410804200010.00000000,1
410804200010.00000000,1
410804300022.00000000,1
410804400013.00000000,1
410804400013.00000000,1
410805100024.00000000,1
410805200010.00000000,1
410805200010.00000000,1
410805200018.00000000,1
410805200018.00000000,1
410805200024.00000000,1
410805300017.00000000,1
410805300017.00000000,1
410805300023.00000000,1
410806100008.00000000,1
410806100016.00000000,1
410806100017.00000000,1
410806100017.00000000,1
410806100018.00000000,1
410806100018.00000000,1
410806100018.00000000,1
410806100022.00000000,1
410806100022.00000000,1
410806100023.00000000,1
410806100023.00000000,1
410806300012.00000000,1
410806300012.00000000,1
410806300013.00000000,1
410806427017.00000000,1
410807200022.00000000,1
410807200022.00000000,1
410807400023.00000000,1
410808351006.00000000,1
410808351006.00000000,1
410808351007.00000000,1
410808351007.00000000,1
410808376002.00000000,1
410809200003.00000000,1
410809200003.00000000,1
410809200018.00000000,1
410809200018.00000000,1
410809200025.00000000,1
410810100054.00000000,1
410810200002.00000000,1
410810200002.00000000,1
410810200010.00000000,1
410810200010.00000000,1
410810200025.00000000,1
410811151011.00000000,1
410811151011.00000000,1
410811276011.00000000,1
410811401002.00000000,1
410811401002.00000000,1
410811426001.00000000,1
410811426001.00000000,1
410812100011.00000000,1
410812100011.00000000,1
410812100034.00000000,1
410812100034.00000000,1
410812100035.00000000,1
410812100035.00000000,1
410812300004.00000000,1
410812300004.00000000,1
410812300010.00000000,1
410812300010.00000000,1
410812300013.00000000,1
410812300013.00000000,1
410812400027.00000000,1
410814202013.00000000,1
410814202014.00000000,1
410814227007.00000000,1
410815100031.00000000,1
410815200029.00000000,1
410816276001.00000000,1
410816276001.00000000,1
410816300016.00000000,1
410816300016.00000000,1
410816300018.00000000,1
410816400002.00000000,1
410817100026.00000000,1
410817100026.00000000,1
410817351003.00000000,1
410817400001.00000000,1
410817400001.00000000,1
410817400002.00000000,1
410817400002.00000000,1
410819100001.00000000,1
410819100004.00000000,1
410819300028.00000000,1
410819300028.00000000,1
410819400001.00000000,1
410819400001.00000000,1
410819400001.00000000,1
410819400011.00000000,1
410819400011.00000000,1
410819400011.00000000,1
410819400011.00000000,1
410820200004.00000000,1
410820200004.00000000,1
410820200007.00000000,1
410820200007.00000000,1
410820300006.00000000,1
410820300006.00000000,1
410820300009.00000000,1
410820300009.00000000,1
410820400027.00000000,1
410820400027.00000000,1
410821100006.00000000,1
410821100006.00000000,1
410821100020.00000000,1
410821100020.00000000,1
410821200031.00000000,1
410821300005.00000000,1
410821300007.00000000,1
410821300008.00000000,1
410821300008.00000000,1
410821400001.00000000,1
410821400001.00000000,1
410821400005.00000000,1
410822100037.00000000,1
410822100038.00000000,1
410822300018.00000000,1
410823300017.00000000,1
410823300017.00000000,1
410825100002.00000000,1
410825100003.00000000,1
410825100003.00000000,1
410825200014.00000000,1
410825200014.00000000,1
410825300001.00000000,1
410825300003.00000000,1
410826200010.00000000,1
410826200017.00000000,1
410826300010.00000000,1
410826300010.00000000,1
410826400003.00000000,1
410826400007.00000000,1
410826400007.00000000,1
410827376003.00000000,1
410827400006.00000000,1
410827400007.00000000,1
410827400019.00000000,1
410827400023.00000000,1
410827400026.00000000,1
410827400027.00000000,1
410828100001.00000000,1
410828100001.00000000,1
410828100005.00000000,1
410828100005.00000000,1
410828200009.00000000,1
410828200009.00000000,1
410828200010.00000000,1
410828200011.00000000,1
410828376010.00000000,1
410828376010.00000000,1
410828376010.00000000,1
410828376010.00000000,1
410828451013.00000000,1
410829100003.00000000,1
410829100003.00000000,1
410829100035.00000000,1
410829100037.00000000,1
410829200010.00000000,1
410829200016.00000000,1
410829200016.00000000,1
410829200017.00000000,1
410829200017.00000000,1
410829301001.00000000,1
410829301001.00000000,1
410829301001.00000000,1
410829326002.00000000,1
410829326002.00000000,1
410829326003.00000000,1
410829400003.00000000,1
410830100006.00000000,1
410830100006.00000000,1
410830100006.00000000,1
410830200002.00000000,1
410830200002.00000000,1
410830200002.00000000,1
410830200007.00000000,1
410830200007.00000000,1
410830200008.00000000,1
410830300007.00000000,1
410830400003.00000000,1
410830400003.00000000,1
410831100002.00000000,1
410831100002.00000000,1
410831100002.00000000,1
410831100005.00000000,1
410831100005.00000000,1
410831100007.00000000,1
410831100007.00000000,1
410831301020.00000000,1
410831301020.00000000,1
410831301020.00000000,1
410831326007.00000000,1
410831326007.00000000,1
410832200017.00000000,1
410832200020.00000000,1
410832200020.00000000,1
410832200020.00000000,1
410832200020.00000000,1
410832300004.00000000,1
410832300004.00000000,1
410833100001.00000000,1
410833100001.00000000,1
410833100001.00000000,1
410833100001.00000000,1
410833100002.00000000,1
410833100002.00000000,1
410833100002.00000000,1
410833100002.00000000,1
410833100004.00000000,1
410833100004.00000000,1
410833100004.00000000,1
410833100004.00000000,1
410833100005.00000000,1
410833100005.00000000,1
410834102005.00000000,1
410834201009.00000000,1
410834201009.00000000,1
410834201010.00000000,1
410834201010.00000000,1
410834277008.00000000,1
410834277008.00000000,1
410834277010.00000000,1
410834277010.00000000,1
410834277011.00000000,1
410834277011.00000000,1
410834300036.00000000,1
410834300043.00000000,1
410834300045.00000000,1
410835100022.00000000,1
410835100023.00000000,1
410835200002.00000000,1
410835200002.00000000,1
410835200009.00000000,1
410835200009.00000000,1
410835300033.00000000,1
410835400013.00000000,1
410835400013.00000000,1
410835400014.00000000,1
410835400014.00000000,1
410835400016.00000000,1
410836100002.00000000,1
410836100004.00000000,1
410836100005.00000000,1
410906100011.00000000,1
410907200002.00000000,1
410908400008.00000000,1
410908400008.00000000,1
410908400008.00000000,1
410918300002.00000000,1
410918300002.00000000,1
410918300002.00000000,1
410918300005.00000000,1
410918300005.00000000,1
410918300005.00000000,1
410918300006.00000000,1
410918300006.00000000,1
410918400025.00000000,1
410918400025.00000000,1
410930300010.00000000,1
410931100002.00000000,1
410931100002.00000000,1
410931100002.00000000,1
410931100002.00000000,1
410931400002.00000000,1
410931400002.00000000,1
410931400002.00000000,1
410931400006.00000000,1
410931400006.00000000,1
410931400006.00000000,1
410933100026.00000000,1
410933100026.00000000,1
411024300016.00000000,1
411024401015.00000000,1
411025200012.00000000,1
411025200012.00000000,1
411101200043.00000000,1
411101400023.00000000,1
411112200018.00000000,1
411112400030.00000000,1
411112400031.00000000,1
411112400033.00000000,1
411112400034.00000000,1
411112400035.00000000,1
411113400041.00000000,1
411119400022.00000000,1
411119400026.00000000,1
411119400030.00000000,1
411119400031.00000000,1
411120426031.00000000,1
411126300013.00000000,1
411126400016.00000000,1
411132226006.00000000,1
411136451010.00000000,1
411136451017.00000000,1
411201200017.00000000,1
411201200017.00000000,1
411201200021.00000000,1
411201200021.00000000,1
411201200022.00000000,1
411201300017.00000000,1
411201300017.00000000,1
411201400018.00000000,1
411201400018.00000000,1
411202100006.00000000,1
411202100006.00000000,1
411202200001.00000000,1
411202200011.00000000,1
411202200012.00000000,1
411202200013.00000000,1
411202200014.00000000,1
411202200014.00000000,1
411202300001.00000000,1
411202300001.00000000,1
411202300007.00000000,1
411202400004.00000000,1
411202400004.00000000,1
411202400007.00000000,1
411202400007.00000000,1
411203101002.00000000,1
411203101002.00000000,1
411203126006.00000000,1
411203126006.00000000,1
411203200015.00000000,1
411203200015.00000000,1
411203200016.00000000,1
411203200016.00000000,1
411203401001.00000000,1
411203401001.00000000,1
411203426001.00000000,1
411203426001.00000000,1
411203426003.00000000,1
411203426003.00000000,1
411204200039.00000000,1
411204200039.00000000,1
411204300005.00000000,1
411204300005.00000000,1
411204400037.00000000,1
411205100006.00000000,1
411205100006.00000000,1
411205100021.00000000,1
411205100021.00000000,1
411205200023.00000000,1
411206300011.00000000,1
411206300018.00000000,1
411206300029.00000000,1
411206300036.00000000,1
411206300039.00000000,1
411206300042.00000000,1
411206300045.00000000,1
411206300046.00000000,1
411207126002.00000000,1
411207151001.00000000,1
411207200015.00000000,1
411207300003.00000000,1
411207300006.00000000,1
411207300013.00000000,1
411207400003.00000000,1
411207400009.00000000,1
411207400019.00000000,1
411207400030.00000000,1
411207400030.00000000,1
411208400007.00000000,1
411208400007.00000000,1
411209100003.00000000,1
411209100004.00000000,1
411209200007.00000000,1
411209200007.00000000,1
411209400012.00000000,1
411209400012.00000000,1
411210280002.00000000,1
411210280002.00000000,1
411211100019.00000000,1
411211300011.00000000,1
411211300011.00000000,1
411212100004.00000000,1
411212100004.00000000,1
411212100005.00000000,1
411212100007.00000000,1
411212200001.00000000,1
411212200003.00000000,1
411212200003.00000000,1
411213400011.00000000,1
411213400020.00000000,1
411213400020.00000000,1
411213400021.00000000,1
411214200025.00000000,1
411214200025.00000000,1
411217100005.00000000,1
411217300005.00000000,1
411217300008.00000000,1
411218100004.00000000,1
411218100027.00000000,1
411218100027.00000000,1
411218100034.00000000,1
411218200001.00000000,1
411218200010.00000000,1
411218200010.00000000,1
411218200010.00000000,1
411218200011.00000000,1
411219100025.00000000,1
411220100002.00000000,1
411220100023.00000000,1
411220300008.00000000,1
411220300008.00000000,1
411221100026.00000000,1
411221200009.00000000,1
411222400009.00000000,1
411222400009.00000000,1
411224200022.00000000,1
411224200024.00000000,1
411224300012.00000000,1
411224300012.00000000,1
411224300012.00000000,1
411224400002.00000000,1
411224400003.00000000,1
411225100005.00000000,1
411225100005.00000000,1
411225100005.00000000,1
411225100006.00000000,1
411225100006.00000000,1
411225100009.00000000,1
411225200008.00000000,1
411225200010.00000000,1
411225300005.00000000,1
411225300006.00000000,1
411225300008.00000000,1
411225400001.00000000,1
411225400002.00000000,1
411225400003.00000000,1
411226300002.00000000,1
411226300011.00000000,1
411227100016.00000000,1
411227100017.00000000,1
411227200002.00000000,1
411227200010.00000000,1
411227200010.00000000,1
411227300006.00000000,1
411227300013.00000000,1
411227300016.00000000,1
411227300016.00000000,1
411227300016.00000000,1
411227400005.00000000,1
411228400009.00000000,1
411229202028.00000000,1
411229300026.00000000,1
411229300031.00000000,1
411229300033.00000000,1
411229300035.00000000,1
411229401005.00000000,1
411229451007.00000000,1
411230400004.00000000,1
411230400009.00000000,1
411231400026.00000000,1
411231400038.00000000,1
411231400038.00000000,1
411231400039.00000000,1
411231400039.00000000,1
411232200006.00000000,1
411232300009.00000000,1
411232300009.00000000,1
411232400021.00000000,1
411232400022.00000000,1
411233101010.00000000,1
411233101016.00000000,1
411233101021.00000000,1
411233101021.00000000,1
411233101024.00000000,1
411233201004.00000000,1
411233202011.00000000,1
411233202011.00000000,1
411233227008.00000000,1
411233227010.00000000,1
411233227021.00000000,1
411233276010.00000000,1
